sample_id,method,user_id,period_start,period_type,diversity,normalized_diversity,temporal_coverage,temporal_breadth,context_precision,faithfulness_report,answer_relevancy_report,report_tokens_used,report_generation_time,generated_text
21_week_2025-04-07,mmr_rag,21,2025-04-07,week,,,,,,0.8,3,7501,4.602351903915405,"{""title"":""Weekly Report 07.04 – 13.04"",""summary"":""Цей тиждень був про обережне, але впевнене повернення до регулярного бігу. У фокусі були легкі пробіжки, інтервали, відновлення та уважність до сигналів тіла — і саме ця послідовність дала відчуття спокою, стабільності та поступового прогресу."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було виконано кілька легких пробіжок, інтервальні відрізки, короткий крос і відновлювальний день із ходьбою, розтяжкою та мобільністю. Особливо помітні маленькі перемоги: рівніше дихання, спокійніший темп, відчуття, що тіло знову слухається, а 21 км вже не здаються чимось недосяжним. Підготовка виглядає не як ривок, а як зібрана база, яка поступово стає міцнішою.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: було багато усвідомлених рішень про темп, дистанцію та відновлення. У текстах відчувається не хаотичний рух, а чітка робота на довшу мету — повернення форми й підготовку до півмарафону.""},""what_worked"":[{""title"":""Легкий темп"",""description"":""Спокійні пробіжки допомагали тримати ритм без зайвого тиску і давали відчуття, що тіло поступово адаптується.""},{""title"":""Інтервали з паузами"",""description"":""Короткі відрізки бігу з ходьбою між ними дозволяли працювати трохи інтенсивніше, але без перевантаження.""},{""title"":""Уважність до тіла"",""description"":""Коли з’являвся дискомфорт або втома, зменшення дистанції, розтяжка й відновлення допомагали зберегти стабільність і спокій.""},{""title"":""Біг як перезавантаження"",""description"":""Пробіжки після роботи або напруженого дня помітно розчищали голову й повертали внутрішню легкість.""}]}"
21_week_2025-05-19,mmr_rag,21,2025-05-19,week,,,,,,0.6170212765957447,5,16357,7.413759469985962,"{""title"":""Щотижневий звіт 19.05.2025 – 25.05.2025"",""summary"":""Цього тижня ти дуже спокійно й послідовно повернула ритм у бігу та в англійській. В обох напрямах помітно, що ставка була на регулярність, уважність до себе та маленькі, але стабільні кроки вперед. Загальне враження — тиха, зріла робота, яка вже дає відчутний фундамент для подальшого росту."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Ти багато разів виходила на тренування у різному форматі: від коротких легких пробіжок і ходьби до інтервалів, темпових відрізків і довших дистанцій майже 4–8,5 км. Помітно, що ти не просто повертаєш біг, а вже будуєш підготовку: тримаєш рівніший темп, уважніше слухаєш тіло, додаєш розминку, силові вправи та відновлення. Особливо тішить, що думка про півмарафон поступово перестає бути чимось далеким і починає сприйматися як реальний план.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти тримала англійську в регулярній практиці через слухання, speaking, граматику, лексику для роботи й подорожей, письмові вправи та короткі розмови. Найбільші маленькі перемоги — це більше усного мовлення без внутрішньої паніки, краще розуміння на слух, упевненіше письмо і готові фрази для реальних ситуацій. Відчувається, що мова стає для тебе не окремим завданням, а живим інструментом, яким ти вже користуєшся більш природно.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Цього тижня було багато конкретних дій і дуже мало розсіювання: ти тримала увагу на двох важливих напрямах і рухалася в них послідовно. Підхід був спокійний, але цілеспрямований, із чітким відчуттям структури й прогресу.""},""what_worked"":[{""title"":""Спокійна регулярність у бігу"",""description"":""Легкі пробіжки, інтервали, темп і відновлення працювали саме тому, що ти не поспішала й уважно коригувала навантаження під самопочуття.""},{""title"":""Практична англійська"",""description"":""Лексика для роботи й подорожей, короткі speaking-сесії та письмові нотатки добре зайшли, бо були прив’язані до реальних ситуацій і давали відчуття користі.""},{""title"":""М’яка дисципліна без надриву"",""description"":""Тобі допомогло те, що ти не вимагала ідеальності: у складніші моменти скорочувала обсяг, але все одно зберігала контакт із процесом.""}]}"
21_week_2025-05-05,mmr_rag,21,2025-05-05,week,,,,,,0.45161290322580644,5,16356,6.810919284820557,"{""title"":""Щотижневий звіт 05.05 – 11.05.2025"",""summary"":""Цього тижня головний фокус був на м’якому поверненні до регулярного бігу та на спокійнішому, більш уважному ставленні до навантаження. У русі видно багато маленьких, але чітких кроків: короткі легкі пробіжки, інтервали, обережне збільшення дистанції, розтяжка й відновлення. В англійській тиждень теж був дуже практичним: регулярна практика слухання, повторення корисної лексики та тренування speaking і письма."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень ти кілька разів виходила на легкий біг, інтервали й короткі кроси, зберігаючи ритм без надриву. Особливо цінно, що ти поєднувала пробіжки з розминкою, розтяжкою, силовою підтримкою для кора й сідниць, а також відновленням, коли це було потрібно. Маленькі перемоги тут дуже конкретні: рівніше дихання, спокійніший темп, перші дистанції до 3–5 км і відчуття, що півмарафон уже не виглядає далеким.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""У навчанні було багато стабільної щоденної практики: слухання подкастів і відео, повторення слів, робота з граматикою, speaking і короткі тексти. Ти не лише закривала теми, а й одразу переносила лексику в живі формати — фрази для роботи, подорожей, листів і розмов. Помітний маленький прогрес — більше автоматизму, менше внутрішньої паніки та відчутно впевненіше мовлення.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Це тиждень чіткої, регулярної роботи над двома напрямками без зайвого розсіювання. У обох цілях видно уважність до процесу, конкретні дії та поступове зміцнення впевненості.""},""what_worked"":[{""title"":""Спокійний легкий біг"",""description"":""Легкий темп і короткі дистанції допомагали зберігати регулярність без перевантаження, особливо коли тіло було втомлене.""},{""title"":""Інтервали та темпові відрізки"",""description"":""Короткі відрізки бігу додавали відчуття прогресу й повертали впевненість у витривалості.""},{""title"":""Розтяжка і відновлення"",""description"":""Після бігу та в окремі дні відновлення допомагало берегти тіло й підтримувати стабільність у тренуваннях.""},{""title"":""Щоденна англійська в малих блоках"",""description"":""Короткі, але регулярні сесії — слова, граматика, listening або speaking — добре працювали для підтримки ритму без перевантаження.""}]}"
21_week_2024-12-30,mmr_rag,21,2024-12-30,week,,,,,,0.10344827586206896,3,7519,5.501096725463867,"{""title"":""Weekly Report 30.12.2024 – 05.01.2025"",""summary"":""Цього тижня головним фокусом було повернення до регулярного бігу через дуже обережний, розумний режим. У записах багато уваги до темпу, відновлення й слухання тіла, і саме це дало відчуття спокійного прогресу та впевненості. "",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом тижня було кілька легких пробіжок, інтервальних відрізків і спокійних виходів на дистанцію, включно з 2 км, 2,5 км, майже 3 км та більш рівними 3 км без зупинок. Особливо помітні маленькі кроки вперед: рівніше дихання, спокійніший темп, перші відрізки без паніки та відчуття, що тренування вже повертаються в режим. Окремо виділяються силові для кора, сідниць і ніг, розтяжка та відновлювальні дні, які підтримували біг і допомагали зберігати баланс.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зосередженим на одному чіткому напрямку: м’яко відновити біг і будувати базу без поспіху. У текстах багато усвідомлених рішень, рівного темпу й уваги до сигналів тіла, що добре відповідає цьому настрою.""},""what_worked"":[{""title"":""Обережний темп"",""description"":""Легкий і розмовний темп допомагав залишатися в русі без надриву та поступово повертати впевненість.""},{""title"":""Слухати тіло"",""description"":""Коли з’являлися втома, дискомфорт чи важкі ноги, коригування дистанції й інтенсивності дозволяли не втрачати ритм.""},{""title"":""Інтервали й прискорення"",""description"":""Короткі інтервали та кілька прискорень додавали різноманіття й показували, що тіло вже відгукується на трохи інтенсивнішу роботу.""},{""title"":""Силова підтримка"",""description"":""Силові на корпус і ноги зміцнювали відчуття бази й робили підготовку до півмарафону більш зібраною.""}]}"
21_week_2025-05-12,mmr_rag,21,2025-05-12,week,,,,,,0.3953488372093023,3,16514,6.4811224937438965,"{""title"":""Щомісячний звіт за травень 2025"",""summary"":""У травні було видно дуже рівне повернення до обох напрямків: регулярного бігу та англійської. У бігу поступово наростали дистанція, спокій і впевненість у власному темпі, а в англійській — більше говоріння, краща робота з граматикою та практичніша мова для роботи й подорожей."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За місяць ти повернула біг у стабільний режим і поступово нарощувала дистанцію: від коротких легких виходів до 5–8,5 км, інтервалів і довших спокійних пробіжок. Особливо помітні маленькі, але важливі зрушення: рівніше дихання, менше внутрішньої напруги, краща здатність слухати тіло й коригувати навантаження без паніки.\n\nОкремо сильним виглядає те, що ти не просто «бігала», а будувала базу під півмарафон: додавала силові для кора, сідниць і ніг, робила відновлення, розтяжку та мобільність. Наприкінці місяця з’явилося відчуття, що 21 км уже не сприймаються як щось недосяжне, а підготовка стала частиною режиму.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""У травні ти тримала англійську в регулярній практиці й змістила акцент у бік живого використання мови: speaking, короткі діалоги, листи, фрази для роботи та подорожей. Видно, що ти стала сміливіше говорити, частіше думати простими англійськими фразами та менше лякатися помилок.\n\nТакож добре просунулась граматика й аудіювання: ти неодноразово розбирала часи, артиклі, умовні речення, неправильні дієслова та працювала з різними форматами слухання. Наприкінці місяця з’явилося відчуття міцнішої бази, більшої автоматизації й впевненості, що шлях до B2 уже не теоретичний, а цілком реальний.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень/місяць виглядає зібраним і цілеспрямованим: у обох цілях є регулярна практика, поступове ускладнення й уважність до деталей. Особливо помітно, що ти не просто підтримувала ритм, а свідомо будувала довшу дистанцію — у бігу й в англійській.""},""what_worked"":[{""title"":""Поступове нарощування навантаження"",""description"":""Тобі добре працював підхід без поспіху: короткі пробіжки, інтервали, а потім довші спокійні дистанції допомагали рости без надриву.""},{""title"":""Слухати тіло й коригувати план"",""description"":""Коли ти зменшувала темп, обсяг або переходила на відновлення, тренування залишалися стабільними й без зайвого стресу.""},{""title"":""Speaking на конкретні теми"",""description"":""Розмовні вправи про роботу, подорожі та побут давали більше впевненості, бо мова одразу була прив’язана до реальних ситуацій.""},{""title"":""Лексика через практичний контекст"",""description"":""Списки фраз для подорожей, роботи, зустрічей і листів добре закріплювались, бо ти бачила їхню пряму користь.""}]}"
21_week_2025-04-21,mmr_rag,21,2025-04-21,week,,,,,,0.4523809523809524,5,16474,8.134631633758545,"{""title"":""Weekly Report 21.04 – 27.04 2025"",""summary"":""Цього тижня головний фокус був на поверненні ритму: у бігу — через дуже обережне нарощування навантаження, у англійській — через регулярну практику слухання, лексики та speaking. В обох напрямах видно спокійні, але стійкі кроки вперед: більше довіри до себе, менше внутрішньої напруги й більше опори на звичку."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Тиждень показав дуже виважене повернення до регулярного бігу: були легкі пробіжки, інтервали, короткі кроси та кілька довших відрізків без поспіху. Особливо помітні маленькі перемоги — 3 км без зупинки, майже 4 км на обережному темпі, 5 км майже без зупинок і відчуття, що дихання та витривалість поступово стають стабільнішими.\n\nТакож добре видно, що ти не просто бігла, а вчилася підбирати навантаження розумно: скорочувала дистанцію, коли тіло просило паузи, додавала розтяжку, відновлення, силову роботу для кора й сідниць. Це створює міцну базу під півмарафон і робить підготовку більш зрілою та спокійною.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Англійська цього тижня рухалася через щоденні короткі й практичні кроки: повторення слів, граматику, слухання, письмові вправи та розмову вголос. Особливо помітно, що ти почала частіше працювати з живими ситуаціями — темами подорожей, роботою, small talk, листами й телефонними фразами.\n\nНайсильніші маленькі перемоги — це моменти, коли ти вже могла говорити без повної паузи в голові, краще ловила ключові слова на слух і впевненіше будувала короткі тексти. Видно, що англійська поступово стає не окремим заняттям, а частиною щоденної навички.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Цей тиждень виглядає стабільним і зібраним: було багато регулярних дій, але без надриву. Ти послідовно підтримувала обидва напрями, слухала сигнали тіла й зберігала контакт із навчанням навіть через короткі формати.""},""what_worked"":[{""title"":""Обережне нарощування бігу"",""description"":""Легкі темпи, інтервали й поступове збільшення дистанції допомогли повертати форму без зайвого тиску.""},{""title"":""Слухання з практичним фокусом"",""description"":""Подкасти, відео та діалоги про подорожі й роботу краще закріплювали слова, бо були пов’язані з реальними ситуаціями.""},{""title"":""Короткі, але регулярні сесії"",""description"":""Навіть 10–20 хвилин англійської або коротка пробіжка підтримували ритм і не давали випасти з процесу.""},{""title"":""Speaking вголос без перфекціонізму"",""description"":""Коли ти дозволяла собі говорити просто й не шукати ідеальні слова, мовлення ставало вільнішим і впевненішим.""}]}"
21_week_2025-06-02,mmr_rag,21,2025-06-02,week,,,,,,0.5094339622641509,5,16413,7.632389783859253,"{""title"":""Щотижневий звіт 02.06 – 08.06.2025"",""summary"":""Цей тиждень був про обережне, але впевнене повернення в ритм: у бігу — через короткі, спокійні тренування з поступовим збільшенням дистанції, в англійській — через регулярну практику граматики, слухання, лексики та говоріння. У обох напрямах добре видно одну спільну лінію: ти не форсувала, а будувала стабільність, і саме це дало відчуття спокою та прогресу."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень ти кілька разів виходила на легкі пробіжки, чергувала біг із ходьбою, робила короткі інтервали та додавала відновлення у вигляді розтяжки, ходьби й мобільності. Видно дуже уважний підхід до навантаження: ти слухала коліно, ноги, втому й погоду, але не випадала з процесу. Особливо сильними виглядають моменти, де вдалося пробігти трохи довше, зберегти рівне дихання або спокійно завершити тренування без паніки — це вже схоже на справжню базу під півмарафон.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти тримала регулярний контакт з англійською через слухання, граматику, картки, короткі тексти, письмові вправи та speaking-практику. Помітно, що навчання стало більш прикладним: ти тренувала фрази для роботи, подорожей, листів і розмов, а також частіше пробувала говорити без внутрішнього перекладу. Маленькі, але важливі перемоги цього тижня — короткі розмови, впевненіше письмо й відчуття, що мова вже починає ставати автоматичнішою.""}],""tone"":{""word"":""Steady"",""scale"":4,""description"":""Тиждень виглядає рівним і зібраним: ти тримала регулярність у двох великих напрямках, не форсувала темп і послідовно поверталася до практики. Відчувається спокійна, стійка робота без ривків, але з чітким накопиченням результату.""},""what_worked"":[{""title"":""Спокійний темп у бігу"",""description"":""Легкі пробіжки, чергування бігу з ходьбою та уважність до тіла допомогли зберегти регулярність і не ламати себе.""},{""title"":""Відновлення як частина прогресу"",""description"":""Розтяжка, ходьба, мобільність і скорочення навантаження в потрібний момент підтримували стабільність без перевантаження.""},{""title"":""Практична англійська"",""description"":""Теми про роботу, подорожі, листи й розмови робили навчання конкретним і корисним, тому легше було втримувати мотивацію.""},{""title"":""Speaking без внутрішнього перекладу"",""description"":""Коли ти починала говорити простими фразами й без страху перед помилками, мовлення ставало живішим і впевненішим.""}]}"
21_week_2025-04-28,mmr_rag,21,2025-04-28,week,,,,,,0.5901639344262295,5,16554,11.797325611114502,"{""title"":""Щотижневий звіт 28.04 – 04.05.2025"",""summary"":""Цього тижня було багато уважного, спокійного повернення до регулярності — і в бігу, і в англійській. У обох напрямках ти робила ставку на сталість, слухала сигнали тіла й зосереджувалася на простих, але дієвих кроках: короткі пробіжки, інтервали, повторення лексики, speaking і практика слухання. Загальне враження — тиждень із відчутним внутрішнім зрушенням у бік впевненості та більш зрілого підходу."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Цього тижня ти стабільно поверталася до бігу через короткі легкі пробіжки, інтервали, спокійні дистанції та один відновлювальний день із ходьбою, розтяжкою й мобільністю. Особливо помітні були кроки до витривалості: 3 км без зупинки, 5 км майже без зупинок, а також довший біг із чергуванням бігу й ходьби, який уже більше нагадує підготовку до півмарафону. Важливим прогресом стало те, що ти все частіше бігла з рівним темпом, без паніки й без бажання щось доводити, а після тренувань краще відновлювалася і берегла себе через розтяжку, компреси та зниження інтенсивності, коли це було потрібно.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти підтримувала регулярний контакт з англійською через слухання, граматику, лексику, reading, writing і speaking, причому все частіше у практичних темах для роботи та подорожей. Сильними моментами стали короткі, але регулярні сесії, словнички фраз, повторення неправильних дієслів, тренування письма й кілька розмовних практик, де ти змогла говорити впевненіше й без довгих внутрішніх пауз. Помітно, що мова стає для тебе не окремим заняттям, а робочим інструментом: ти частіше думаєш простими англійськими фразами, краще тримаєш увагу на слуханні та спокійніше реагуєш на помилки.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Цей тиждень виглядає сфокусованим, бо ти послідовно тримала два важливі напрями й у кожному робила конкретні, прикладні кроки. Відчувається не лише регулярність, а й ясний намір будувати базу без поспіху — з обережністю, дисципліною та практичним мисленням.""},""what_worked"":[{""title"":""Спокійний, адаптивний біг"",""description"":""Тобі добре працював формат, у якому ти підлаштовувала навантаження під самопочуття, погоду й втому, не втрачаючи саму серію тренувань.""},{""title"":""Практичні теми в англійській"",""description"":""Лексика й фрази про роботу, подорожі та побут добре тримали мотивацію, бо ти одразу бачила їхню користь у реальних ситуаціях.""},{""title"":""Короткі, регулярні сесії"",""description"":""Невеликі, але часті підходи до тренувань і навчання допомогли втримати ритм і накопичити відчутний прогрес без перевантаження.""},{""title"":""Повторення і контекст"",""description"":""Тобі особливо допомагало повторювати матеріал через власні приклади, міні-шпаргалки, диктофон і голосове проговорювання, а не лише через пасивне читання.""}]}"
21_week_2025-04-14,mmr_rag,21,2025-04-14,week,,,,,,0.5777777777777777,5,16371,13.249438524246216,"{""title"":""Щотижневий звіт 14.04 – 20.04 2025"",""summary"":""Цього тижня був дуже помітний рух у двох напрямах: повернення до регулярного бігу та стабільна робота над англійською. В обох темах найбільше вирізняються спокій, уважність до себе і готовність робити маленькі кроки навіть у непрості дні — саме це дало відчуття реального прогресу."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""У бігу видно чітке повернення в режим: були легкі пробіжки, інтервали, спокійні 2–3 км, а також перші довші відрізки майже до 4–5 км. Особливо сильними виглядають моменти, де ти не гналася за темпом, а тримала стабільність, слухала тіло й завершувала тренування з відчуттям спокою та впевненості. Тиждень показує, що база під півмарафон уже справді формується: дихання вирівнюється, дистанції поступово ростуть, а рух стає звичною частиною дня.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""В англійській було багато системної практики: граматика, speaking, listening, лексика для роботи й подорожей, короткі тексти та перекази. Найкраще працювали конкретні й прикладні формати — коли ти вчила слова в контексті, говорила вголос, записувала фрази для реальних ситуацій і поверталася до складних тем через повторення. Помітно зростає впевненість у мовленні та сприйнятті на слух, а мова все більше стає робочим інструментом, а не окремим заняттям.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: є регулярні дії, помітна дисципліна та ясний фокус на двох пріоритетах. Особливо відчувається вміння тримати курс через малий, але стабільний прогрес.""},""what_worked"":[{""title"":""Спокійний біг без гонитви"",""description"":""Коли ти свідомо сповільнювалась і тримала комфортний темп, тренування проходили рівніше й давали більше впевненості.""},{""title"":""Практична англійська в реальних темах"",""description"":""Лексика й speaking про роботу, подорожі та побут краще закріплювались, бо були одразу пов’язані з життям.""},{""title"":""Повторення замість тиску"",""description"":""Короткі повторення, коли не було сил, допомагали не випадати з ритму й зберігати звичку без перевантаження.""},{""title"":""Слухати тіло й коригувати навантаження"",""description"":""У бігу це дало змогу залишатися в процесі без зайвого ризику, а після тренувань — швидше відновлюватися й рухатися далі.""}]}"
21_week_2025-06-16,mmr_rag,21,2025-06-16,week,,,,,,0.7272727272727273,5,16343,6.255647420883179,"{""title"":""Щотижневий звіт 16.06 – 22.06.2025"",""summary"":""Тиждень був зосереджений на м’якому, але дуже послідовному поверненні до бігу та на закріпленні англійської через регулярну практику. В обох цілях добре видно спокійний прогрес: більше витривалості, більше впевненості й менше внутрішньої напруги під час виконання завдань."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Цього тижня ти кілька разів виходила на короткі й легкі пробіжки, чергувала біг із ходьбою, робила розминку, розтяжку та відновлення. Особливо помітно, що ти бігала без поспіху, уважно слухала тіло й не намагалася доводити щось через втому або дискомфорт. Маленькими, але стійкими кроками повертається відчуття ритму, а разом із ним — і впевненість у підготовці до півмарафону.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти підтримувала регулярність через поєднання граматики, лексики, listening і speaking: повторювала часи, артиклі, conditionals, practiced speaking with timers, писала короткі тексти й слухала подкасти та відео. Дуже добре видно, що з’являється більше автоматизму в простих фразах, а теми роботи й подорожей стають практичними опорами для навчання. Маленькі розмови, короткі повторення й робота з помилками поступово роблять мову більш живою та впевненою.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Тиждень виглядає стабільним і зібраним: є регулярні повернення до двох напрямків, спокійне коригування навантаження та багато уважної практики. Це не різкий ривок, а впевнене рухання вперед без втрати ритму.""},""what_worked"":[{""title"":""Легкі пробіжки з увагою до тіла"",""description"":""Спокійний темп, короткі дистанції та чергування бігу з ходьбою допомогли зберігати регулярність без перевантаження.""},{""title"":""Відновлення після навантаження"",""description"":""Розтяжка, мобільність і дні легшого руху підтримували бігову форму та давали змогу повертатися до тренувань спокійніше.""},{""title"":""Speaking на коротких відрізках"",""description"":""Короткі усні практики, таймери й розмови на конкретні теми допомагали говорити сміливіше й без зайвого тиску.""},{""title"":""Практична лексика"",""description"":""Слова й фрази для роботи та подорожей краще закріплювалися, бо були прив’язані до реальних ситуацій і були одразу корисними.""}]}"
